,program,output
7169,OP5 16 ; OP7 4 ; OP8 2 ; OP10 -5 ; OP11 -7 -2 ; OP7 19 ; OP1 5 ; OP1 5,-43
7170,OP5 0 ; OP4 4 ; OP7 11 ; OP12 -9 ; OP1 1 ; OP6 1 1 2 ; OP6 -2 2 0 ; OP11 6 0,0
7171,OP5 -14 ; OP8 2 ; OP1 1 ; OP11 -8 -4 ; OP9 3 ; OP1 0 ; OP1 1 ; OP12 15 ; OP11 -4 3 ; OP9 2,-12
7172,OP5 -7 ; OP5 -2 ; OP1 1 ; OP6 -1 1 -1 ; OP1 0 ; OP12 -8 ; OP8 -2 ; OP6 1 -2 -4 4 1 ; OP10 -1,-28
7173,OP5 -18 ; OP6 1 3 4 -1 0 ; OP3 6 ; OP11 9 9 ; OP6 -4 0 -4 ; OP4 -3 ; OP3 8 ; OP7 -7 ; OP11 -9 3 ; OP4 5,-14
7174,OP5 6 ; OP12 8 ; OP1 1 ; OP7 -3,25
7175,OP5 6 ; OP11 -6 1 ; OP2 5,-6
7176,OP5 -13 ; OP9 3 ; OP8 -1 ; OP8 -3 ; OP1 3 ; OP1 4 ; OP3 7 ; OP8 2 ; OP3 9 ; OP1 8,234
7177,OP5 16 ; OP7 14 ; OP4 -5 ; OP1 1 ; OP1 3 ; OP12 16 ; OP6 3 4 -3 3 0 ; OP1 6 ; OP5 -8 ; OP11 -6 -7,42
7178,OP5 8 ; OP8 2 ; OP12 -8 ; OP6 2 1 0 4 ; OP4 0 ; OP1 3 ; OP6 1 -4 1 ; OP1 0,-4
7179,OP5 10 ; OP10 0 ; OP6 2 -3 0 -4 ; OP2 -5,0
7180,OP5 3 ; OP7 -19 ; OP1 1 ; OP9 5 ; OP2 3,41
7181,OP5 -9 ; OP9 2 ; OP3 5 ; OP6 -3 1 -2 4 0 ; OP1 1 ; OP11 0 -9,0
7182,OP5 13 ; OP9 5 ; OP12 11 ; OP11 5 1 ; OP12 9 ; OP7 5 ; OP2 -5,9
7183,OP8 -7 ; OP8 7 ; OP10 5 ; OP1 2 ; OP7 -5 ; OP6 0 -3 4 1 1 ; OP8 9 ; OP9 4,0
7184,OP5 6 ; OP10 3 ; OP8 -7,-154
7185,OP5 -15 ; OP10 4 ; OP4 2 ; OP11 -7 2 ; OP11 -3 0 ; OP1 4 ; OP12 3,3
7186,OP5 -8 ; OP12 4 ; OP1 1 ; OP6 -3 0 0 3 ; OP7 -12 ; OP7 -15 ; OP11 -1 7 ; OP10 -3,25
7187,OP5 0 ; OP9 -4 ; OP1 0 ; OP11 -9 8 ; OP5 4 ; OP4 4 ; OP10 -5 ; OP12 -10 ; OP3 9 ; OP1 5,34
7188,OP5 -19 ; OP9 0 ; OP7 -12,-7
7189,OP5 -10 ; OP11 -1 2 ; OP1 0 ; OP1 0 ; OP8 6,-12
7190,OP5 10 ; OP7 -10 ; OP1 1 ; OP6 -1 -4 ; OP12 -8 ; OP6 -4 -1 -4 -4 -2,-128
7191,OP5 5 ; OP2 1 ; OP1 1 ; OP3 5 ; OP5 -7 ; OP6 1 -2 ; OP11 5 9 ; OP7 -3 ; OP1 6,48
7192,OP5 -12 ; OP12 -2 ; OP1 0 ; OP3 5 ; OP4 -2 ; OP6 0 -2 1 2 4 ; OP12 -8,-8
7193,OP5 20 ; OP12 0 ; OP6 3 -4 -2 ; OP3 5 ; OP6 2 4 -2 ; OP5 -12 ; OP7 -8 ; OP11 -4 0,0
7194,OP5 -3 ; OP9 5 ; OP8 -7 ; OP1 1 ; OP3 5 ; OP6 0 -4,0
7195,OP5 -10 ; OP9 0 ; OP9 1 ; OP5 8 ; OP12 6 ; OP9 0 ; OP1 3 ; OP8 -3 ; OP11 -8 2 ; OP2 -4,-16
7196,OP5 9 ; OP10 -1 ; OP3 5 ; OP4 -4 ; OP3 5 ; OP10 5 ; OP1 0,-11
7197,OP5 -18 ; OP6 -4 2 0 ; OP1 1 ; OP10 -4,4
7198,OP5 -6 ; OP6 -3 -1 ; OP3 4 ; OP1 0 ; OP6 -1 -3 ; OP1 1 ; OP8 -6,-18
7199,OP5 7 ; OP6 -4 1 ; OP8 -1 ; OP6 1 0 -2 0 -2,0
7200,OP5 10 ; OP2 -2 ; OP1 0 ; OP10 1 ; OP1 3 ; OP1 2,22
7201,OP5 -14 ; OP8 7 ; OP2 -1,-98
7202,OP5 19 ; OP2 1 ; OP5 -11,-11
7203,OP5 -16 ; OP8 7 ; OP1 1 ; OP10 -1 ; OP5 14 ; OP8 7 ; OP9 -5 ; OP11 1 3,3
7204,OP5 -18 ; OP2 2 ; OP7 -18 ; OP1 0 ; OP1 3 ; OP1 0,0
7205,OP5 12 ; OP9 5 ; OP4 -2 ; OP8 9 ; OP5 11 ; OP1 3 ; OP11 -2 -4 ; OP6 -2 -4 -1 0 4,0
7206,OP5 0 ; OP2 3 ; OP1 0,0
7207,OP5 19 ; OP9 0 ; OP7 -15,34
7208,OP5 -11 ; OP2 -2 ; OP6 -2 3 0 ; OP6 1 3 3 0 -3 ; OP8 -6 ; OP10 4 ; OP12 -2,2
7209,OP5 -11 ; OP2 3 ; OP7 11 ; OP7 13 ; OP6 4 -1 -2 2 ; OP12 6 ; OP1 4 ; OP1 3,22
7210,OP5 -12 ; OP12 -13 ; OP1 0 ; OP6 0 -4 -1 ; OP1 0,0
7211,OP5 18 ; OP4 4 ; OP11 1 2 ; OP8 -8,-16
7212,OP5 -17 ; OP4 4 ; OP8 -1 ; OP12 15 ; OP3 8 ; OP1 1 ; OP3 9 ; OP5 5 ; OP7 18 ; OP12 -13,-7
7213,OP5 3 ; OP9 4 ; OP6 -2 -1 0 -1 ; OP11 10 -6 ; OP1 3 ; OP7 2 ; OP11 1 -8,-8
7214,OP5 -18 ; OP7 -2 ; OP10 -5 ; OP8 1 ; OP1 1,-426
7215,OP5 -17 ; OP12 11 ; OP3 5 ; OP1 1 ; OP10 2 ; OP1 3 ; OP12 -9 ; OP8 2 ; OP4 -2,5
7216,OP5 -14 ; OP11 1 -5 ; OP4 -4 ; OP6 2 2 -1,-4
7217,OP5 9 ; OP9 5 ; OP5 -16 ; OP1 2 ; OP2 -3,-16
7218,OP5 -10 ; OP11 4 -8 ; OP2 5 ; OP4 4 ; OP4 -4,-8
7219,OP5 -9 ; OP10 1 ; OP8 -6 ; OP12 -18 ; OP1 1,-114
7220,OP5 -3 ; OP2 1 ; OP10 4 ; OP1 0 ; OP1 2 ; OP7 -4 ; OP7 4 ; OP7 0 ; OP4 -2,-14
7221,OP5 10 ; OP9 -4 ; OP1 0 ; OP6 -4 1 0 4 ; OP3 7 ; OP6 -2 -3 ; OP12 -6 ; OP1 1 ; OP2 -4,0
7222,OP5 11 ; OP11 10 -5 ; OP1 0 ; OP1 0 ; OP1 2 ; OP9 0,-50
7223,OP5 -8 ; OP7 20 ; OP4 -4 ; OP5 16 ; OP4 -4 ; OP11 4 2 ; OP10 3 ; OP9 -4,28
7224,OP5 -12 ; OP6 4 3 3 -3 ; OP3 4 ; OP1 1 ; OP10 -4 ; OP11 8 -2,-16
7225,OP5 16 ; OP9 3 ; OP7 12 ; OP6 -1 0 ; OP12 1 ; OP6 -4 1 -2 0 -4 ; OP3 7 ; OP5 7,7
7226,OP5 -6 ; OP2 0 ; OP11 -3 -7 ; OP6 -4 4 3 3 ; OP5 14 ; OP11 9 5,45
7227,OP5 -14 ; OP6 2 1 1 -2 2 ; OP12 15 ; OP4 -4 ; OP5 -2,-2
7228,OP5 6 ; OP12 14 ; OP1 0 ; OP12 6 ; OP3 5 ; OP5 -19,-19
7229,OP5 3 ; OP5 16 ; OP1 1 ; OP1 2 ; OP1 3,16
7230,OP5 10 ; OP9 -1 ; OP1 0 ; OP4 -4 ; OP9 5,5
7231,OP5 3 ; OP5 14 ; OP7 20 ; OP1 1 ; OP8 -6 ; OP8 -2 ; OP1 3 ; OP11 4 -7 ; OP11 1 -6,-6
7232,OP5 15 ; OP10 -3 ; OP10 3 ; OP10 -2 ; OP4 -3 ; OP3 8 ; OP11 -1 3 ; OP12 5 ; OP1 1 ; OP6 1 2 0 3 2,0
7233,OP5 -12 ; OP6 -2 2 2 ; OP3 4 ; OP7 -15 ; OP12 1 ; OP7 5,-12
7234,OP5 19 ; OP11 2 -1 ; OP12 -16 ; OP4 2 ; OP11 8 -6 ; OP10 -4,196
7235,OP5 15 ; OP9 2 ; OP2 0,15
7236,OP11 -6 -10 ; OP7 18 ; OP7 -11 ; OP9 1 ; OP1 2 ; OP11 3 0 ; OP7 0 ; OP4 3,0
7237,OP5 9 ; OP11 3 -5 ; OP1 0 ; OP3 4 ; OP3 6 ; OP4 1 ; OP12 -8 ; OP1 0,-16
7238,OP5 -7 ; OP10 2 ; OP1 0 ; OP12 -13 ; OP6 -2 1 -3 2 -1 ; OP6 -2 -2 3 3 -3,-108
7239,OP8 2 ; OP11 0 -7 ; OP4 -2 ; OP5 11 ; OP6 3 0 2 2 ; OP11 -2 9 ; OP5 -10 ; OP8 3,-30
7240,OP5 5 ; OP10 2 ; OP1 1,32
7241,OP5 17 ; OP12 14 ; OP8 1 ; OP12 -11 ; OP1 0,20
7242,OP5 -2 ; OP12 -17 ; OP1 0 ; OP2 5 ; OP9 4 ; OP9 3 ; OP11 -8 7,-56
7243,OP5 -8 ; OP4 -3 ; OP4 2 ; OP8 -2,4
7244,OP5 17 ; OP9 -1 ; OP10 -3,-47
7245,OP5 -20 ; OP10 -3 ; OP12 -5 ; OP1 1 ; OP10 -2 ; OP10 -2,-716
7246,OP5 -6 ; OP9 3 ; OP12 -14,-20
7247,OP5 12 ; OP12 -19 ; OP1 1 ; OP6 -2 -4 ; OP6 4 1 -3 -1 ; OP6 0 3 1 ; OP11 -9 5 ; OP11 7 1,7
7248,OP10 -5 ; OP10 3 ; OP4 2 ; OP12 1 ; OP1 0 ; OP1 0 ; OP12 -15,436
7249,OP5 11 ; OP7 20 ; OP10 2 ; OP5 -17 ; OP3 6 ; OP1 3 ; OP9 -2,-17
7250,OP5 17 ; OP9 -3 ; OP7 19 ; OP1 2 ; OP6 0 -4 ; OP1 3 ; OP4 1 ; OP12 -17,-17
7251,OP5 -15 ; OP6 -2 -1 ; OP7 20 ; OP4 -5 ; OP1 0 ; OP8 8 ; OP1 1 ; OP8 8 ; OP2 -4,-576
7252,OP5 7 ; OP4 1 ; OP7 1 ; OP2 3 ; OP1 2,1
7253,OP5 -4 ; OP7 -2 ; OP7 -5 ; OP8 5 ; OP1 3 ; OP11 0 6 ; OP6 3 4 -4 -1 ; OP2 4,48
7254,OP5 10 ; OP5 20 ; OP7 -2 ; OP1 0 ; OP10 2 ; OP6 3 1 -1 4 -4 ; OP10 -1,-44
7255,OP5 -1 ; OP7 -20 ; OP7 11 ; OP12 18 ; OP4 -3,13
7256,OP11 -4 -1 ; OP11 0 -3 ; OP6 2 -1 3 ; OP4 -3 ; OP5 -12 ; OP10 -4 ; OP6 2 2 -1 1 -3 ; OP1 5 ; OP5 17,17
7257,OP5 18 ; OP6 -4 -2 -1 -3 -1 ; OP1 0 ; OP12 -13 ; OP6 4 -3 -2 4,96
7258,OP5 -13 ; OP11 -1 -6 ; OP8 -7 ; OP1 1 ; OP1 1 ; OP5 -19 ; OP11 -9 1 ; OP7 1,-10
7259,OP5 12 ; OP11 -10 5 ; OP7 20 ; OP10 -5 ; OP10 -2 ; OP7 -7,-697
7260,OP5 0 ; OP2 3 ; OP2 2 ; OP1 2,0
7261,OP5 8 ; OP4 -2 ; OP1 0,4
7262,OP2 5 ; OP2 1 ; OP10 -3 ; OP10 -2,-4
7263,OP5 17 ; OP9 4 ; OP5 13 ; OP6 3 0 -2 1 ; OP6 0 -3 2 -1 ; OP1 1 ; OP11 7 7,49
7264,OP5 4 ; OP12 8 ; OP7 -17,29
7265,OP5 -14 ; OP9 4 ; OP6 2 3 ; OP6 0 4 ; OP12 -10 ; OP4 -4 ; OP3 7 ; OP8 4,-20
7266,OP5 -7 ; OP2 3 ; OP1 0 ; OP5 -7 ; OP7 2 ; OP1 0,-9
7267,OP5 4 ; OP10 -4 ; OP4 -2 ; OP6 1 4 2 ; OP2 0,8
7268,OP5 6 ; OP5 -1 ; OP1 1 ; OP8 3 ; OP6 3 2 ; OP11 -3 -2 ; OP4 -5 ; OP6 1 3 ; OP6 4 2 -2 -2 ; OP1 3,32
7269,OP5 -4 ; OP5 -2 ; OP4 -3 ; OP12 8,7
7270,OP5 0 ; OP9 2 ; OP7 -20 ; OP3 5 ; OP7 19 ; OP5 10,10
7271,OP5 17 ; OP7 0 ; OP6 -3 -1 1 ; OP5 6 ; OP11 7 4 ; OP9 -5 ; OP12 -7 ; OP5 2 ; OP4 4,1
7272,OP5 9 ; OP2 -4 ; OP1 1 ; OP10 4 ; OP1 0 ; OP12 15 ; OP7 -8 ; OP2 0,63
7273,OP5 -3 ; OP9 1 ; OP9 -3 ; OP1 1 ; OP5 -10 ; OP12 -13 ; OP2 4,-23
7274,OP5 16 ; OP5 -17 ; OP6 2 -3 3 ; OP7 -3 ; OP1 3 ; OP10 -1 ; OP3 7 ; OP1 6 ; OP5 -17 ; OP11 0 7,0
7275,OP5 -14 ; OP11 1 -10 ; OP8 -4 ; OP3 8 ; OP1 1 ; OP1 0 ; OP1 2 ; OP3 9 ; OP6 2 -1 0 ; OP2 -4,0
7276,OP5 2 ; OP9 1 ; OP1 1 ; OP10 -2 ; OP10 4 ; OP9 -1,4
7277,OP5 4 ; OP12 -5 ; OP3 3 ; OP8 1 ; OP7 -12 ; OP1 0 ; OP6 1 -4,-4
7278,OP5 9 ; OP5 -18 ; OP11 -7 -2 ; OP3 4 ; OP12 1 ; OP10 -2 ; OP11 9 3,27
7279,OP6 -2 2 3 -4 -2 ; OP9 -3 ; OP3 8 ; OP7 -15 ; OP1 1 ; OP1 1 ; OP4 -3 ; OP7 2 ; OP2 1,-96
7280,OP5 19 ; OP8 -9 ; OP1 1 ; OP11 5 2 ; OP11 -5 -4,20
7281,OP5 16 ; OP7 17 ; OP10 2 ; OP11 10 7 ; OP11 9 9 ; OP8 -5 ; OP5 -14 ; OP1 0,-14
7282,OP5 -19 ; OP2 -1 ; OP9 -2 ; OP9 -3 ; OP12 -2 ; OP1 4 ; OP8 -1 ; OP11 -8 -2 ; OP10 -1,-12
7283,OP5 20 ; OP9 2 ; OP7 18 ; OP5 -12,-12
7284,OP5 2 ; OP9 -3 ; OP6 -3 0 -1 0 2,0
7285,OP5 18 ; OP9 -5 ; OP12 10 ; OP6 -4 -4 2 ; OP1 1 ; OP12 -17,15
7286,OP5 -20 ; OP10 -1 ; OP12 -8 ; OP11 -9 -9 ; OP3 6 ; OP1 1 ; OP8 -7 ; OP9 -2,-567
7287,OP5 -13 ; OP8 9 ; OP1 0 ; OP6 -4 -4 -2,-32
7288,OP5 4 ; OP5 -9 ; OP1 0 ; OP7 6 ; OP11 -3 -2 ; OP7 7 ; OP7 -20 ; OP5 18,18
7289,OP5 -2 ; OP8 -8 ; OP8 9 ; OP1 1 ; OP5 5 ; OP4 2 ; OP12 0 ; OP5 14 ; OP11 1 9,9
7290,OP5 10 ; OP6 3 -2 3 ; OP12 -20 ; OP6 2 4 -4 -3 ; OP12 -20,76
7291,OP5 -11 ; OP12 -10 ; OP1 0 ; OP10 1,-17
7292,OP5 9 ; OP10 1 ; OP4 -3 ; OP12 -4 ; OP1 3 ; OP5 11 ; OP1 1 ; OP6 3 -3 -4 ; OP1 1 ; OP8 5,180
7293,OP5 -14 ; OP9 -2 ; OP4 4 ; OP8 8 ; OP1 1 ; OP6 3 -3 -4 ; OP12 -5 ; OP5 6,6
7294,OP5 -19 ; OP12 14 ; OP7 3 ; OP4 5,-4
7295,OP5 -7 ; OP2 2 ; OP7 -18 ; OP10 3 ; OP3 6 ; OP1 3 ; OP1 0 ; OP10 4 ; OP3 9 ; OP11 0 -4,0
7296,OP5 7 ; OP5 -11 ; OP7 14 ; OP7 5,-30
7297,OP5 5 ; OP10 3 ; OP10 -2 ; OP1 2 ; OP3 6 ; OP7 -12 ; OP1 1 ; OP8 -2,848
7298,OP5 -17 ; OP9 -3 ; OP1 0 ; OP4 -3 ; OP6 -4 1 ; OP6 -3 -2 -2 3 ; OP9 3,-36
7299,OP5 -20 ; OP2 3 ; OP11 -8 7 ; OP5 -14 ; OP1 2 ; OP6 1 3 -4 -2,24
7300,OP5 17 ; OP6 -4 1 -2 ; OP1 0 ; OP1 1 ; OP12 9 ; OP1 1 ; OP11 4 3 ; OP3 8 ; OP11 0 5 ; OP5 2,2
7301,OP5 -12 ; OP5 -14 ; OP5 -9 ; OP4 5 ; OP8 -4 ; OP1 4 ; OP3 7 ; OP4 4,-40
7302,OP5 10 ; OP9 1 ; OP11 -4 -6 ; OP1 0 ; OP3 6 ; OP1 4 ; OP4 0,12
7303,OP5 18 ; OP6 3 3 -1 1 -1 ; OP1 0 ; OP11 -4 -4 ; OP11 1 -4 ; OP1 1 ; OP1 4 ; OP2 -1,-4
7304,OP5 14 ; OP8 9 ; OP11 9 0,0
7305,OP5 3 ; OP12 -5 ; OP1 1 ; OP3 7 ; OP3 5 ; OP4 -1 ; OP9 2 ; OP12 -17 ; OP10 2 ; OP1 4,-74
7306,OP5 -2 ; OP9 5 ; OP5 17 ; OP8 8 ; OP6 0 3 -4 -2 2 ; OP10 2 ; OP10 4 ; OP1 4 ; OP5 -7,-7
7307,OP5 -14 ; OP11 -8 9 ; OP10 -2 ; OP5 -19 ; OP8 5 ; OP11 -6 8,-48
7308,OP5 -19 ; OP11 -1 -8 ; OP1 1 ; OP7 -8,16
7309,OP9 0 ; OP11 2 4 ; OP9 1 ; OP6 3 4 -3 -4 -1,-144
7310,OP5 -20 ; OP2 -5 ; OP6 0 -4 -1 -1,0
7311,OP10 -5 ; OP5 -17 ; OP4 1,-9
7312,OP5 -9 ; OP2 -2 ; OP1 0 ; OP6 -2 3 ; OP5 -6 ; OP4 1 ; OP12 -20 ; OP1 5,-32
7313,OP5 9 ; OP8 4 ; OP3 3 ; OP1 0 ; OP8 9 ; OP4 -1 ; OP4 -3 ; OP1 2,182
7314,OP5 6 ; OP2 5 ; OP8 -7 ; OP8 -6,252
7315,OP5 -5 ; OP2 2 ; OP7 12,-17
7316,OP5 -6 ; OP7 -12 ; OP1 1 ; OP3 4 ; OP7 -5 ; OP2 -4 ; OP5 13 ; OP1 0,13
7317,OP5 -12 ; OP9 0 ; OP7 -4 ; OP6 0 2 -4 ; OP6 -1 -4 0 0 ; OP1 2 ; OP7 4 ; OP2 2,-4
7318,OP5 -15 ; OP12 7 ; OP10 -4 ; OP4 -3 ; OP8 -6 ; OP10 -1 ; OP6 2 -4 -3 -3 ; OP4 -1 ; OP1 4,-36
7319,OP5 19 ; OP9 -5 ; OP6 1 -1 ; OP6 -4 -1 -2 3 1 ; OP3 5 ; OP1 3,-24
7320,OP5 10 ; OP10 4 ; OP5 -1 ; OP8 -7 ; OP10 3 ; OP3 8 ; OP7 15 ; OP10 -4 ; OP6 -2 0 3 3 ; OP2 2,0
7321,OP5 11 ; OP10 0 ; OP12 4 ; OP4 -1 ; OP8 -5 ; OP7 16 ; OP9 5,-36
7322,OP5 19 ; OP10 5 ; OP5 8 ; OP11 -8 1 ; OP7 2 ; OP3 6 ; OP6 -3 -4 -3 2 4,-288
7323,OP9 -2 ; OP12 8 ; OP3 4 ; OP11 -2 -10 ; OP9 4,8
7324,OP5 -13 ; OP4 -5 ; OP5 19 ; OP8 1,19
7325,OP5 15 ; OP7 11 ; OP1 0 ; OP8 -3 ; OP6 3 -2 0 ; OP6 -1 1 ; OP3 8 ; OP4 -4 ; OP1 3,-1
7326,OP5 3 ; OP12 -6 ; OP5 7 ; OP3 5 ; OP8 4 ; OP1 0 ; OP4 -3 ; OP6 -2 -4 1 -2 -3 ; OP6 3 -2 ; OP1 8,-6
7327,OP5 3 ; OP12 17 ; OP12 -17 ; OP5 15 ; OP1 3 ; OP1 0 ; OP11 10 -7 ; OP1 3 ; OP1 1 ; OP4 -3,-35
7328,OP5 15 ; OP7 -18 ; OP11 -6 9 ; OP2 -3 ; OP4 0 ; OP9 1,-27
7329,OP5 -12 ; OP11 0 -3 ; OP4 5 ; OP12 19 ; OP8 -8 ; OP12 -17 ; OP12 -16,-185
7330,OP5 20 ; OP4 1 ; OP1 0 ; OP4 -4 ; OP1 1 ; OP12 -16 ; OP1 0 ; OP6 1 4 4,16
7331,OP5 20 ; OP8 -2 ; OP1 0 ; OP5 -3,-3
7332,OP5 -19 ; OP6 -2 -1 -2 -1 ; OP4 4 ; OP12 -8 ; OP8 9 ; OP9 4 ; OP11 6 -1 ; OP5 20 ; OP7 4 ; OP7 -9,25
7333,OP5 0 ; OP2 -5 ; OP5 7 ; OP4 5 ; OP11 -9 9 ; OP8 6 ; OP1 3 ; OP6 -4 -1 ; OP1 0,4
7334,OP5 18 ; OP9 0 ; OP1 0 ; OP2 0 ; OP5 0 ; OP5 -4 ; OP1 1 ; OP11 5 7,35
7335,OP5 -17 ; OP7 -4 ; OP1 0 ; OP7 19 ; OP10 5 ; OP6 2 -3 -4 3 -3,-216
7336,OP5 5 ; OP2 1 ; OP3 4 ; OP7 11 ; OP1 2 ; OP6 -3 1 3 -4 ; OP11 6 0 ; OP1 6 ; OP7 0,0
7337,OP5 -13 ; OP2 -1 ; OP8 4 ; OP5 -1 ; OP1 1,-1
7338,OP5 16 ; OP2 -3 ; OP3 5 ; OP1 1 ; OP10 -5 ; OP5 7 ; OP3 7 ; OP11 2 -4 ; OP9 0,-8
7339,OP5 -12 ; OP2 -1 ; OP11 -8 3 ; OP1 1,-24
7340,OP5 13 ; OP10 -5 ; OP8 4 ; OP8 -8 ; OP9 -5 ; OP2 3 ; OP6 -1 2,-2
7341,OP5 7 ; OP11 -1 6 ; OP9 -1 ; OP11 -6 -5 ; OP3 5 ; OP5 -12,-12
7342,OP5 15 ; OP9 3 ; OP2 4 ; OP12 10 ; OP1 0 ; OP3 8 ; OP1 5 ; OP11 -8 -10 ; OP2 0,25
7343,OP5 -20 ; OP6 -4 -4 0 0 1 ; OP11 0 0 ; OP1 2 ; OP9 2,0
7344,OP5 19 ; OP4 5 ; OP3 7 ; OP12 3 ; OP11 6 1 ; OP2 -5 ; OP5 -8 ; OP3 8 ; OP12 18 ; OP10 1,31
7345,OP5 -1 ; OP5 -11 ; OP2 -3 ; OP10 -5 ; OP4 -5 ; OP11 10 4 ; OP1 5,40
7346,OP5 -1 ; OP9 3 ; OP1 1 ; OP6 -1 -3 ; OP7 -4 ; OP8 -2,-14
7347,OP5 20 ; OP9 5 ; OP11 0 -3 ; OP9 5,0
7348,OP5 -11 ; OP9 1 ; OP1 0 ; OP3 4 ; OP1 1,-11
7349,OP5 11 ; OP9 3 ; OP11 -1 0,0
7350,OP5 10 ; OP5 -3 ; OP4 -2 ; OP9 4,-2
7351,OP8 4 ; OP7 -11 ; OP5 -20 ; OP12 19 ; OP7 -2 ; OP11 7 -8 ; OP12 7 ; OP1 2,-49
7352,OP5 8 ; OP6 2 3 4 1 ; OP11 -4 4 ; OP2 -1 ; OP8 -6 ; OP1 3 ; OP12 -10 ; OP5 -20 ; OP8 7,-140
7353,OP5 -12 ; OP6 -1 2 -1 -3 ; OP12 3 ; OP11 -2 -4,8
7354,OP5 4 ; OP11 2 -5 ; OP9 4 ; OP9 -5 ; OP9 -5,-10
7355,OP5 18 ; OP10 2 ; OP1 1,84
7356,OP5 2 ; OP6 4 -1 ; OP1 1 ; OP5 19 ; OP11 4 10 ; OP2 2 ; OP11 -3 -10 ; OP1 5 ; OP1 1 ; OP12 -16,14
7357,OP5 20 ; OP7 9 ; OP2 -1 ; OP5 5 ; OP12 -3 ; OP3 6 ; OP11 -4 -9,36
7358,OP5 12 ; OP2 -5 ; OP4 3 ; OP6 -4 2 -4 3 -4 ; OP11 6 4 ; OP5 -6 ; OP12 13 ; OP10 1 ; OP5 16 ; OP1 0,16
7359,OP5 18 ; OP4 -1 ; OP6 3 -4 ; OP11 -10 1 ; OP1 2 ; OP10 -5,54
7360,OP5 14 ; OP7 1 ; OP11 9 9 ; OP2 3 ; OP8 2 ; OP6 -1 4 ; OP7 -20 ; OP1 0,16
7361,OP5 2 ; OP10 1 ; OP8 9 ; OP2 -5,54
7362,OP5 4 ; OP2 -4 ; OP7 -5 ; OP4 5,4
7363,OP5 -12 ; OP8 -6 ; OP1 1 ; OP5 -18 ; OP1 2 ; OP6 3 -3 4 -1 2 ; OP10 -5 ; OP8 -5 ; OP12 -17 ; OP4 5,881
7364,OP5 -15 ; OP9 1 ; OP1 1 ; OP2 5 ; OP11 5 -9 ; OP11 8 -9 ; OP1 3 ; OP1 2 ; OP3 9 ; OP5 20,20
7365,OP5 -12 ; OP5 1 ; OP11 -2 2 ; OP10 2 ; OP2 5 ; OP1 4 ; OP11 -5 6 ; OP11 2 -6 ; OP8 -5,60
7366,OP5 16 ; OP10 -2 ; OP4 -3 ; OP12 19,5
7367,OP5 -7 ; OP12 13 ; OP8 2 ; OP11 -3 -3 ; OP6 -2 3,-6
7368,OP5 2 ; OP2 -2 ; OP4 2 ; OP1 1 ; OP3 6 ; OP7 7 ; OP7 11,-11
7369,OP5 18 ; OP11 2 -6 ; OP3 4 ; OP12 -18 ; OP12 12 ; OP8 -9,0
7370,OP5 16 ; OP9 -3 ; OP3 8 ; OP5 3 ; OP7 0 ; OP6 1 -1 3 ; OP3 8 ; OP3 8 ; OP12 -5,11
7371,OP7 -16 ; OP11 9 5 ; OP12 16 ; OP3 4 ; OP1 3,61
7372,OP5 -19 ; OP12 -2 ; OP6 3 1 3 -4 3 ; OP2 2 ; OP1 2 ; OP6 1 2 -2 -1 ; OP1 3 ; OP5 -9 ; OP6 -1 -4 3 ; OP8 7,84
7373,OP5 -20 ; OP11 7 9 ; OP3 3 ; OP9 -2,63
7374,OP5 -8 ; OP6 2 -1 0 3 ; OP1 0 ; OP10 -4 ; OP12 10,14
7375,OP5 -7 ; OP9 1 ; OP10 1,-3
7376,OP5 13 ; OP6 -4 -2 1 ; OP10 3 ; OP8 -4 ; OP8 2 ; OP6 1 3 2 ; OP3 8 ; OP1 0 ; OP4 -4 ; OP11 -5 -10,50
7377,OP5 -15 ; OP8 6 ; OP7 -12 ; OP12 -9 ; OP1 2,-84
7378,OP5 -5 ; OP9 2 ; OP4 -2 ; OP12 -14,-17
7379,OP5 -17 ; OP7 18 ; OP6 2 2 ; OP6 -3 4 ; OP3 5 ; OP1 4 ; OP9 4 ; OP12 -6 ; OP4 -1,-9
7380,OP5 -20 ; OP9 -4 ; OP8 2 ; OP4 -3 ; OP8 -7 ; OP11 7 -2 ; OP3 7 ; OP1 5 ; OP1 3 ; OP5 3,3
7381,OP5 -7 ; OP6 0 -1 -3 2 1 ; OP5 -2 ; OP1 1 ; OP2 2 ; OP4 -3 ; OP12 12,11
7382,OP4 -4 ; OP5 -11 ; OP1 0 ; OP11 9 2 ; OP8 2 ; OP1 0 ; OP8 3,108
7383,OP2 -5 ; OP11 6 6 ; OP7 -3 ; OP8 -6 ; OP5 16 ; OP5 -2 ; OP4 0 ; OP1 0,-1
7384,OP5 6 ; OP12 0 ; OP8 -2 ; OP1 0 ; OP1 0 ; OP3 6 ; OP8 -9,108
7385,OP7 2 ; OP2 3 ; OP7 13 ; OP3 5 ; OP5 15 ; OP6 -4 -1 -2 ; OP6 -3 3 -1 2 -2 ; OP11 -5 1,-5
7386,OP5 7 ; OP12 2 ; OP1 0 ; OP10 -3 ; OP6 -1 -2 -1 ; OP3 9 ; OP10 -2 ; OP7 3 ; OP1 4 ; OP1 3,5
7387,OP5 -13 ; OP5 1 ; OP11 5 -1 ; OP2 4 ; OP8 2 ; OP6 0 4 4 -4 -1,0
